"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,E Apache Blvd / s Paseo,
11-20946T,11/10,0019 hrs,11/10 0019 hrs,11/10 0041 hrs Driving on Suspended Drivers License,,Cleared by Arrest
"",,,,,Del Saber,
"",,,,,E Rio Salado Pkwy / S,
11-20959T,11/10,0930 hrs,11/10 0930 hrs,"11/10 0930 hrs Criminal Speed, 20+ MPH Above Posted Speed",,Cleared by Arrest
"",,,,,Mill Ave,
"",,,,,1100 Block E Rio,
11-20962T,11/10,1024 hrs,11/10 1020 hrs,11/10 1024 hrs Warrant Arrests - Two arrested,,Cleared by Arrest
"",,,,,Salado Pkwy,
"",,,,,Nursing & Health Care,
11-20968D,11/10,1127 hrs,11/10 1000 hrs,11/10 1100 hrs Theft,,Pending
"",,,,,Innovation Bldg 2,
11-20975T,11/10,1300 hrs,11/10 1255 hrs,11/10 1300 hrs Theft,Barrett Dining Hall,Pending
"",,,,,Nursing & Health Care,
11-20979D,11/10,1319 hrs,11/10 1005 hrs,11/10 1040 hrs Theft,,Pending
"",,,,,Innovation Bldg 2,
11-20981W,11/10,1343 hrs,11/9 0645 hrs,11/9 1800 hrs Bike Theft,Fletcher Library,Pending
11-20985T,11/10,1414 hrs,11/9 1745 hrs,11/10 1255 hrs Theft,Barrett Dining Hall,Pending
11-20989P,11/10,1512 hrs,11/10 0900 hrs,11/10 1500 hrs Structure Burglary,6500 Block S Athena,Pending
"",,,,,Physical Sciences F,
11-20993T,11/10,1639 hrs,11/10 1500 hrs,11/10 1615 hrs Bike Theft,,Pending
"",,,,,Wing,
11-20994T,11/10,1557 hrs,11/10 1200 hrs,11/10 1430 hrs Criminal Damage,Lot 20,Pending
11-21011T,11/10,2127 hrs,11/9 2200 hrs,11/10 1100 hrs Theft,Hassayampa Phase 2,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Friday, November 11, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-21026T,11/11,0115 hrs,11/11 0115 hrs,"11/11 0115 hrs Possession of Marijuana, Possession of Paraphernalia",Arboretum,Pending
11-21031T,11/11,0206 hrs,11/11 0210 hrs,11/11 0210 hrs Assault,Vista Del Sol,Pending
11-21037P,11/11,0738 hrs,11/11 0750 hrs,11/11 0940 hrs Haz Mat Safety Issue,S Clearview/E Ulysses,Close
