"",,,,,Police Log,,
13-65109T,9/12,0036 hrs,9/12,0036 hrs,9/12,0048 hrs,,Parking Structure 5,Cleared by Arrest
"",,,,,,,Paraphernalia,,
13-65126W,9/12,0250 hrs,9/9,2100 hrs,9/11,2100 hrs,Burglary,Casa de Oro Hall,Pending
13-65131T,9/12,0355 hrs,9/12,0300 hrs,9/12,0315 hrs,Vehicle Theft,500 E Veterans Way,Pending
"",,,,,,,"Bike Theft, Possession of Dangerous Drugs, Possession",Physical Science D,
13-65134T,9/12,0503 hrs,9/12,0503 hrs,9/12,0534 hrs,,,Cleared by Arrest
"",,,,,,,of Drug Paraphernalia,Wing,
13-65215D,9/12,1117 hrs,9/10,0745 hrs,9/10,1800 hrs,Theft,Mercado,Pending
13-65266T,9/12,1516 hrs,9/12,0700 hrs,9/12,1300 hrs,Vehicle Burglary,Lot 59,Pending
13-65315P,9/12,1924 hrs,9/12,1200 hrs,9/12,1430 hrs,Fail to Notify on Striking Unattended Vehicle,Lot 42,Pending
13-65327T,9/12,2014 hrs,9/12,1745 hrs,9/12,2010 hrs,Bike Theft,Mona Plummer,Pending
13-65348D,9/12,2119 hrs,9/12,2119 hrs,9/12,2132 hrs,"Possession of Drug Paraphernalia, Criminal Trespassing",Cronkite,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,Fulton Parking,
13-65429T,9/13,0105 hrs,9/13,0105 hrs,9/13,0117 hrs,Minor with Alcohol in Body,,Cleared by Arrest
"",,,,,,,,Structure,
13-65440T,9/13,0211 hrs,9/13,0211 hrs,9/13,0221 hrs,Minor with Alcohol in Body,Vista del Sol,Cleared by Arrest
13-65446T,9/13,0236 hrs,9/13,0236 hrs,9/13,0238 hrs,Minor with Alcohol in Body,Vista del Sol,Cleared by Arrest
13-65450T,9/13,0257 hrs,9/13,0257 hrs,9/13,0310 hrs,Public Nuisance,800 S Mill Ave,Cleared by Arrest
13-65554T,9/13,1508 hrs,9/7,1600 hrs,9/8,0600 hrs,Bike Theft,Vista del Sol,Pending
13-65560T,9/13,1543 hrs,9/11,1700 hrs,9/13,1000 hrs,Bike Theft,Hassayampa Phase 1,Pending
13-65563T,9/13,1601 hrs,9/8,1730 hrs,9/9,0830 hrs,Theft,Law Library,Pending
"",,,,,,,,Physical Science H,
13-65588T,9/13,1830 hrs,9/13,1600 hrs,9/13,1800 hrs,Bike Theft,,Pending
"",,,,,,,,Wing,
13-65611T,9/13,2005 hrs,9/13,1850 hrs,9/13,2005 hrs,Theft,Lot 66,Cleared by Arrest
13-65621T,9/13,2014 hrs,9/13,0730 hrs,9/13,0830 hrs,Theft,Schwada,Pending
13-65635T,9/13,2132 hrs,9/13,2132 hrs,9/13,2153 hrs,Minor in Possession of Alcohol,Sonora,Cleared by Arrest
"",,,,,,,,S Packard Dr / E Rio,
13-65636T,9/13,2138 hrs,9/13,2138 hrs,9/13,2145 hrs,Excessive Speed,,Cleared by Arrest
"",,,,,,,,Salado Pkwy,
"",,,,,,,"Driving on Suspended License, Diplaying Suspended",900 Block E University,
13-65638T,9/13,2143 hrs,9/13,2143 hrs,9/13,2145 hrs,,,Cleared by Arrest
"",,,,,,,License Plates,Dr,
13-65661T,9/13,2308 hrs,9/13,2308 hrs,9/13,2313 hrs,Possession of Drug Paraphernalia,Hayden West,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,N Scottsdale Rd/E,
13-6582T,9/14,0115 hrs,9/14,0115 hrs,9/14,0115 hrs,"Disorderly Conduct, Fail to Obey Police Officer",,Cleared By Arrest
"",,,,,,,,Gilbert Dr,
"",,,,,,,"DUI Slightest Degree,  DUI over .08 BAC, Extreme",E Apache Blvd/S,
13-5699T,9/14,0226 hrs,9/14,0226 hrs,9/14,226 hrs,,,Cleared By Arrest
"",,,,,,,DUI over .15 BAC,Normal Ave,
13-65727T,9/14,0719 hrs,9/14,0000 hrs,9/14,0719 hrs,Theft,Parking Lot 59,Pending
13-65779D,9/14,1218 hrs,9/14,1220 hrs,9/14,1220 hrs,Bike Theft,Taylor Mall,Pending
13-65785T,9/14,1237 hrs,9/12,2145 hrs,9/14,2200 hrs,Theft,Memorial Union,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"DUI- .08 BAC or above, DUI- Impaired to the Slightest",,
13-65914T,9/15,0044 hrs,9/15,0044 hrs,9/15,0044 hrs,,S Rural Rd/E 6th St,Cleared By Arrest
"",,,,,,,Degree,,
"",,,,,,,,S Mcclintock Dr/ E,
13-65926T,9/15,0128 hrs,9/15,0128 hrs,9/15,0128 hrs,Minor With Alcohol In Body,,Cleared By Arrest
"",,,,,,,,University Dr,
13-65942T,9/15,0229 hrs,9/15,0229 hrs,9/15,0229 hrs,Criminal Nuisance,Parking Lot 16,Cleared By Arrest
13-65988W,9/15,0839 hrs,9/15,0829 hrs,9/15,0839 hrs,Vehicle Burglary,West Parking Lot 19,Pending
13-66050T,9/15,1218 hrs,9/14,1800 hrs,9/14,2000 hrs,Theft,Sun Devil Stadium,Pending
13-66095T,9/15,1521 hrs,9/13,1900 hrs,9/15,1521 hrs,Theft,Well Fargo Arena,Pending
13-66116T,9/15,1645 hrs,9/15,1540 hrs,9/15,1550 hrs,Theft,Memorial Union,Pending
13-66122T,9/15,1650 hrs,9/13,1430 hrs,9/14,1700 hrs,Theft,Manzanita Hall,Pending
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
13-66185T,9/15,2231 hrs,9/15,2231 hrs,9/15,2231 hrs,,Palo Verde Main,Pending
"",,,,,,,Paraphernalia,,
"",,,,,,,,S Rural Rd/E Encanto,
13-66209T,9/15,2357 hrs,9/15,2357 hrs,9/15,2357 hrs,Suspended License,,Cleared By Arrest
"",,,,,,,,Ave,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
13-66219T,9/16,0041 hrs,9/16,0041 hrs,9/16,0058 hrs,Minor with Alcohol in Body,Hassayampa Phase 2,Cleared by Arrest
13-66396T,9/16,1411 hrs,9/14,1900 hrs,9/16,1900 hrs,Aggravated Assault,Sun Devil Stadium,Pending
"",,,,,,,,Engineering Center A,
13-66410T,9/16,1510 hrs,9/16,1440 hrs,9/16,1455 hrs,Theft,,Pending
"",,,,,,,,Wing,
13-66418T,9/16,1531 hrs,9/16,1510 hrs,9/16,1510 hrs,Theft,Memorial Union,Pending
13-66431T,9/16,1631 hrs,9/16,1631 hrs,9/16,1631 hrs,Theft,Vista del Sol,Pending
"",,,,,,,,Sun Devil Fitness,
13-66433T,9/16,1648 hrs,9/16,1648 hrs,9/16,1730 hrs,Assault,,Cleared by Arrest
"",,,,,,,,Center,
"",,,,,,,,Physical Science E,
13-66434T,9/16,1649 hrs,9/16,1520 hrs,9/16,1620 hrs,Bike,,Pending
"",,,,,,,,Wing,
13-66453W,9/16,1909 hrs,9/16,1909 hrs,9/16,1909 hrs,Vehicle Burglary,Lot 19,Pending
13-66456T,9/16,1912 hrs,9/16,1630 hrs,9/16,1730 hrs,Theft,Noble Library,Pending
"",,,,,,,,Interdisciplinary,
13-66478T,9/16,1930 hrs,9/16,1200 hrs,9/16,1250 hrs,Bike Theft,Sciences & Technology,Pending
"",,,,,,,,4,
13-66482D,9/16,2124 hrs,9/16,2124 hrs,9/16,2225 hrs,Minor in Possession of Alcohol,Taylor Place,Cleared by Arrest
"",,,,,,,"Assault, Disorderly Conduct, Theft, Harassment,",,
13-66484T,9/16,2133 hrs,9/16,2133 hrs,9/16,2210 hrs,,Hassayampa Phase 1,Cleared by Arrest
"",,,,,,,Domestic Violence,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Driving on Suspended License, No Current",E Lemon St / S Rural,
13-66541T,9/17,0050 hrs,9/17,0050 hrs,9/17,0100 hrs,,,Cleared by Arrest
"",,,,,,,"Registration, No Proof of Insurance",Rd,
13-66673T,9/17,1021 hrs,9/17,0945 hrs,9/17,1000 hrs,Theft,Memorial Union,Pending
