11-14073T,8/18,1633 hrs,8/15 1500 hrs,8/18 1500 hrs Bicycle Theft,Palo Verde Main,Pending
"",,,,"Minor in Possession of Alcohol, Minor in Consumption",,
11-14101T,8/18,2121 hrs,8/18 2121 hrs,8/18 2233 hrs,Sonora Building,Cleared by Arrest
"",,,,of Alcohol,,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Friday, August 19, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-14149T,8/19,1002 hrs,8/18 1820 hrs,8/18 1100 hrs Bike Theft,Piper,Pending
11-14155T,8/19,1109 hrs,8/18 1915 hrs,8/19 1109 hrs Bike Theft,Hassayampa Phrase 2,Pending
11-14163T,8/19,1313 hrs,8/18 2300 hrs,8/19 1313 hrs Vehicle Burglary,Parking Lot3,Pending
11-14164T,8/19,1325 hrs,8/18 1800 hrs,8/19 1325 hrs Bike Theft,Palo Verde Main,Pending
11-14173T,8/19,1540 hrs,8/18 0800 hrs,8//19 1400 hrs Bike Theft,Barret Willow,Pending
11-14192T,8/19,2020 hrs,8/19 2020 hrs,8/19 2020 hrs Under 21 With Alcohol In Body,Vista Del Sol,Cleared By Arrest
"",,,,,E. Apache Blvd/S.,
11-14199T,8/19,2105 hrs,8/19 2105 hrs,8/19 2105 hrs Under 21 With Alcohol In Body,,Cleared By Arrest
"",,,,,McAllister Ave,
11-14201T,8/19,2114 hrs,8/19 2114 hrs,8/19 2114 hrs Under 21 With Alcohol In Body,Parking Lot 72,Cleared By Arrest
"",,,,,W. University Dr/ S,
11-14207T,8/19,2151 hrs,8/19 2151 hrs,8/19 2151 hrs Possession of Marijuana,,Pending
"",,,,,Farmer Ave,
"",,,,"Possession of Dangerous Drugs, Under 21 With",,
11-14210T,8/19,2212 hrs,8/19 2212 hrs,8/19 2212 hrs,Vista Del Sol,Pending
"",,,,"Alcohol, Under 21 With Possession of Alcohol",,
11-14228T,8/19,2350 hrs,8/19 2350 hrs,8/19 2350 hrs Under 21 With Alcohol In Body,Hassayampa Phrase 1,Cleared By Arrest
09-3915T,8/19,2200 hrs,8/19 2200 hrs,8/19 2200 hrs Warrant Arrest,Structure 5,Cleared By Arrest
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Saturday, August 20, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,,E. Lemon St. / S.,
11-14230T,8/20,0005 hrs,8/20 0005 hrs,8/20 0011 hrs Minor in Consumption of Alcohol,,Cleared By Arrest
"",,,,,McAllister Ave.,
