10-13741T,9/8,2025 hrs,9/8 2137 hrs,9/8,2314 hrs,Leaving the Scene of an Accident,Parking Structure 2,Cleared By Arrest
10-13744T,9/8,2057 hrs,9/8 1710 hrs,9/8,2201 hrs,Theft,Life Sciences C-Wing,Pending
"",,,,,,Possession of Drug Paraphernalia / Possession of,,
10-13755T,9/8,2303 hrs,9/8 2303 hrs,9/9,0022 hrs,,Palo Verde East,Cleared By Arrest
"",,,,,,Marijuana,,
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,,Thru,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-13767T,9/9,0153 hrs,9/9 0153 hrs,9/9,0245 hrs,Under 21 with Alcohol in the Body,Vista Del Sol,Cleared By Arrest
"",,,,,,,S Dorsey Ln / E Apache,
10-13770T,9/9,0347 hrs,9/9 0347 hrs,9/9,0411 hrs,Property Impound,,Closed
"",,,,,,,Blvd,
10-13772T,9/9,0452 hrs,9/9 0452 hrs,9/9,0521 hrs,Property Impound,2010 S Rural Rd,Closed
10-13788T,9/9,1042 hrs,9/7 0800 hrs,9/9,1000 hrs,Criminal Damage,Parking Structure 5,Pending
10-13789D,9/9,1125 hrs,9/9 1100 hrs,9/9,1125 hrs,Criminal Damage,UCENT building,Pending
10-13794T,9/9,1201 hrs,9/7 1100 hrs,9/9,1200 hrs,Theft,Music East,Pending
10-13800T,9/9,1356 hrs,9/9 1256 hrs,9/9,1350 hrs,Burglary,Physical Science D,Pending
10-13804T,9/9,1430 hrs,9/9 1330 hrs,9/9,1430 hrs,Theft,Memorial Union,Pending
10-13805W,9/9,1453 hrs,9/9 1350 hrs,9/9,1453 hrs,Stolen Key,4736 W Wood Drive,Pending
10-13809W,9/9,1520 hrs,9/7 0800 hrs,9/9,1500 hrs,Theft,University Center Building,Pending
10-13811T,9/9,1608 hrs,9/8 1545 hrs,9/9,1600 hrs,Theft,Memorial Union,Pending
10-13814T,9/9,1812 hrs,9/6 1300 hrs,9/9,1800 hrs,Criminal Damage,Lot 59,Pending
10-13825T,9/9,2239 hrs,9/9 2239 hrs,9/9,2325 hrs,Impound,Arboretum,Pending
10-13833T,9/9,2349 hrs,9/9 2349 hrs,9/9,2349 hrs,Possession of Marijuana,Foundation Annex,Cleared By Arrest
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,,Thru,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-13834T,9/10,0002 hrs,9/10 0002 hrs,9/10,0002 hrs,Under 21 with Alcohol in the Body,Sonora Center,Cleared by Arrest
10-13839T,9/10,0052 hrs,9/10 0052 hrs,9/10,0052 hrs,Under 21 with Alcohol in the Body,Parking Structure 7,Cleared by Arrest
10-13840T,9/10,0059 hrs,9/9 2250 hrs,9/9,2355 hrs,Bicycle Theft,Bookstore,Pending
10-13854T,9/10,0329 hrs,9/10 0329 hrs,9/10,0329 hrs,Under 21 with Alcohol in the Body,Sonora Center,Cleared by Arrest
10-13876T,9/10,1323 hrs,9/09 2300 hrs,9/10,1100 hrs,Burglary,600blk S Alpha Drive,Pending
10-13880T,9/10,1441 hrs,9/10 0600 hrs,9/10,1400 hrs,Criminal Damage,Vista Del Sol,Pending
10-13882T,9/10,1433 hrs,9/10 0600 hrs,9/10,1430 hrs,Bicycle Theft,Student Recreation Center,Pending
10-13888T,9/10,1704 hrs,9/10 0700 hrs,9/10,1640 hrs,Bicycle Theft,BA Building,Pending
10-13899T,9/10,2034 hrs,9/10 1930 hrs,9/10,2034 hrs,Bicycle Theft,Hayden Library,Pending
