10-7503T,5/5,1419 hrs,5/5 1400 hrs,5/5,1415 hrs,Impound for Destruction,Cereus Hall,Pending
10-7505W,5/5,1542 hrs,5/5 1500 hrs,5/5,1540 hrs,Fraud,Welcome Center,Pending
10-7518T,5/5,1811 hrs,5/5 1811 hrs,5/5,1810 hrs,Public Nuisance,E University/S Rural,Cleared By Arrest
10-7526T,5/5,1932 hrs,5/5 1932 hrs,5/5,1932 hrs,Attempted Bike Theft,Towers,Pending
10-7527T,5/5,1941 hrs,5/5 1941 hrs,5/5,1941 hrs,Minor in Consumption,Vista Del Sol,Cleared By Arrest
10-7528T,5/5,1843 hrs,5/5 1843 hrs,5/5,1843 hrs,Theft,Gammage,Pending
10-7530T,5/5,2027 hrs,5/5 2027 hrs,5/5,2113 hrs,Minor in Consumption/Contributing to a Minor,Vista Del Sol,Cleared By Arrest
10-7532T,5/5,2117 hrs,5/5 2117 hrs,5/5,2147 hrs,Minor in Consumption,Vista Del Sol,Cleared By Arrest
"",,,,,,,Williams Campus,
10-7534E,5/5,2151 hrs,5/5 2151 hrs,5/5,2149 hrs,Criminal Speed,,Cleared By Arrest
"",,,,,,,Loop/Williams Field Rd,
10-7539T,5/5,2218 hrs,5/5 2218 hrs,5/5,2218 hrs,Public Urination,Lot 35,Cleared By Arrest
10-7552T,5/5,2306 hrs,5/5 2306 hrs,5/5,2318 hrs,Minor in Consumption,Adelphi,Cleared By Arrest
10-7553T,5/5,1843 hrs,5/5 1843 hrs,5/5,1843 hrs,Theft,Gammage,Pending
10-7557T,5/5,2332 hrs,5/5 2332 hrs,5/5,2332 hrs,Stolen Vehicle Recovered,Lot 59,Closed
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-7560T,5/06,0002 hrs,05/06 0002 hrs,5/06,0002 hrs,Found Property,Parking Structure 4,Closed
10-7562T,5/06,0004 hrs,5/06 0004 hrs,5/06,0004 hrs,Criminal Damage,Vista Del Sol,Pending
"",,,,,,,E Apache Blvd/S,
10-7564T,5/06,0021 hrs,5/06 0021 hrs,5/06,0021 hrs,Minor with Alcohol in the Body,,Cleared By Arrest
"",,,,,,,McAllister Ave,
10-7565T,5/06,0032 hrs,5/06 0032 hrs,5/06,0032 hrs,Aggravated DUI and Resisting Arrest,Manzanita,Cleared By Arrest
10-7569T,5/06,0119 hrs,5/06 0119 hrs,5/06,0119 hrs,Minor in Possession of Alcohol,Vista Del Sol,Cleared By Arrest
10-7578T,5/06,0220 hrs,5/06  0220 hrs,5/06,0220 hrs,Minor with Alcohol in the Body,Vista Del Sol,Cleared By Arrest
"",,,,,,,Fulton Parking,
10-7582T,5/06,0305 hrs,5/06 0305 hrs,5/06,0305 hrs,Unlawful Imprisonment,,Closed
"",,,,,,,Structure,
"",,,,,,Impersonating a Police Officer and Minor with Alcohol,,
10-7583T,5/06,0307 hrs,5/06 0307 hrs,5/06,0307 hrs,,Footbridge,Cleared By Arrest
"",,,,,,in the body,,
10-7593T,5/06,1007 hrs,5/06 1007 hrs,5/06,1007 hrs,Impound Property,325 E Apache,Pending
10-7594T,5/06,1100 hrs,5/05 2200 hrs,5/06,0600 hrs,Criminal Damage,Old Main,Pending
10-7599T,5/06,1245 hrs,5/04 0800 hrs,5/06,1200 hrs,Stolen Bicycle,Manzanita,Pending
10-7601T,5/06,1312 hrs,5/06 1100 hrs,5/06,1300 hrs,Theft,Juniper Hall,Pending
10-7605T,5/06,1350 hrs,5/05 1200 hrs,5/06,1350 hrs,Theft,Memorial Union,Pending
10-7606T,5/06,1409 hrs,5/04 1700 hrs,5/04,2100 hrs,Theft,SRC,Pending
10-7607T,5/06,1423 hrs,5/06 1410 hrs,5/06,1415 hrs,Assault,Lot 57,Pending
10-7612T,5/06,1705 hrs,5/06 1705 hrs,5/06,1705 hrs,Theft,Tempe Bookstore,Pending
10-7616T,5/06,1733 hrs,5/01 0000 hrs,5/06,1733 hrs,Bicycle Theft,Hayden Hall,Pending
"",,,,Occurred,,,,
"",Date,Time,,,,,,
Incident #,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,
"",,,Date Time,Date,Time,,,
10-7644T,5/7,0229 hrs,5/7 0229 hrs,5/7,0233 hrs,Minor with Alcohol in Body,Material Services,Cleared by Arrest
10-7651T,5/7,0338 hrs,5/7 0338 hrs,5/7,0338 hrs,Criminal Damage,Art,Pending
